Word,Definition
pestilence,"a serious infection of rodents transmitted to humans,a pernicious and malign influence that is hard to get rid of,a serious infection of rodents transmitted to humans,plague,any epidemic disease with a high death rate,scourge,scourge,any epidemic disease with a high death rate,canker,canker,a pernicious and malign influence that is hard to get rid of,plague,a serious infection of rodents transmitted to humans,a serious infection of rodents transmitted to humans,plague,any epidemic disease with a high death rate
Beset by plague and pestilence, poverty and hunger, the Russians already sense themselves on the brink of annihilation.The New Yorker (Oct 15, 2015)
noun. Pestilence means a deadly and overwhelming disease that affects an entire community. The Black Plague, a disease that killed over thirty percent of Europe's population, was certainly a pestilence. Whereas a person gets the flue, a nation experiences a pestilence. A disease that causes widespread crop damage or animal deaths can also be called a pestilence."
deftly,"in an agile manner,with dexterity; in a dexterous manner,in an agile manner,with dexterity; in a dexterous manner,in an agile manner,with dexterity; in a dexterous manner,in an agile manner,with dexterity; in a dexterous manner,in an agile manner,in an agile manner
For the record, this deftly shot and designed movie was filmed mostly in Morocco, with second-unit photography done in Kabul.Los Angeles Times (Oct 22, 2015)
adverb. A physical or athletic act can be done deftly, or easily and well, but deftly can also describe something done with cleverness or wit, like a musician writing song lyrics deftly. The Old English word ged�fte, which means ""mild"" or ""gentle,"" is the root of the word deftly, whose meaning still has that sense of doing something both skillfully and gently, or effortlessly."
prevarication,"lie,falsehood,the deliberate act of deviating from the truth,a statement that deviates from or perverts the truth,falsehood,lie,lying,the deliberate act of deviating from the truth,truth,a habitual liar,a statement that deviates from or perverts the truth,a statement that deviates from or perverts the truth,lying,lying,lie,falsehood,falsehood,the deliberate act of deviating from the truth
The message to Athens is pretty clear: it is time to decide, no more prevarication.BBC (Jun 11, 2015)
noun. While the noun prevarication is mostly just a fancy way to say ""lie,"" it can also mean skirting around the truth, being vague about the truth, or even delaying giving someone an answer, especially to avoid telling them the whole truth. In the 16th century, the word was used to mean ""going astray,"" or ""stepping out of line."" It comes from the Latin root word praevaricari, which literally translates as ""walk crookedly."""
implore,"beg or request earnestly and urgently,beg,pray,pray,pray,beseech,beg,beg or request earnestly and urgently
Rae says she implored the TV show's producers to let her character ""lose her temper, yell at the kids. Let her be a human being.""US News (Oct 26, 2015)
verb. The word implore is often used to describe an urgent request made out of desperation. A man on death row might implore the governor to grant him a last-minute pardon. In the old days, you might have heard the word spoken by someone with lousy aim at a duel � ""I implore you not to shoot me, my good man!"""
relic,"keepsake,keepsake,keepsake,cavalry,an antiquity that has survived from the distant past,a butter churn,souvenir,antiquity,something of sentimental value,something of sentimental value,souvenir,an antiquity that has survived from the distant past
Since then, it has destroyed ancient temples and other relics.US News (Oct 27, 2015)
noun. A crumbling Roman wall is a relic of a once-great civilization. The superstition that seven years of bad luck will follow if you break a mirror may be a relic of the old superstition that a mirror can trap the souls of those reflected in it. Whether it's an object or an idea, a relic is a remnant of the past. Religious relics are items, such as Buddha�s tooth or St. Anne�s wrist bone, that have been preserved and venerated."
entreat,"cause annoyance in,press,bid,beseech,win approval or support for,cause annoyance in,press,bid,bid,ask for or request earnestly,press,ask for or request earnestly
He entreats fans to come early to catch opening act Hollis Brown and Citizen Cope.Washington Times (Aug 10, 2015)
verb. The verb entreat implies that the person doing the entreating is really serious about what has to happen. Maybe it's even a matter of life and death, like when parents entreat their children to never drive drunk. Synonyms for entreat are plead, beg, beseech, and implore � all of these are words not to be used lightly. They carry more weight than ask and request."
pallor,"wanness,unnatural lack of color in the skin,paleness,unnatural lack of color in the skin,paleness,wanness,wanness,unnatural lack of color in the skin,paleness,unnatural lack of color in the skin,paleness,unnatural lack of color in the skin,paleness,unnatural lack of color
The Times' Paige St. John, who visited the facility in 2013, wrote that inmates there ""take on a ghostly pallor, as if dusted with flour.""Los Angeles Times (Sep 1, 2015)
noun. Pallor comes from the Latin word pallere, which just means to �be pale.� That�s easy enough to remember, right? Pallor, pale. Don�t make yourself sick trying to memorize it, or you might get an unhealthy pallor from the strain."
miscreant,"reprobate,an employee who embezzles money,a person without moral scruples,a person without moral scruples,reprobate,an employee who embezzles money,a person without moral scruples,an employee who embezzles money,a person without moral scruples
He works wonders with con men and other miscreants, aided by the Happy Slapper, a sock full of ball bearings.New York Times (May 31, 2015)
noun. A miscreant is a person who is bad��who lies, breaks the law, yells at small puppies. Miscreant, like lout, lecher, good-for-nothing � they're the words proper people use to condemn the improper."
bequeath,"leave or give by will after one's death,impart,hold back; keep from being perceived by others,hold back; keep from being perceived by others, as of funds,leave or give,leave or give,put together out of artificial or natural components,will,leave,leave,disinherit,disinherit,disinherit,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,mandate,,a family heirloom,a family heirloom,leave or give, especially by will after one's death
But by borrowing to pay for construction, Mr. Conway bequeathed his successors enormous debt.New York Times (Oct 26, 2015)
verb. But look at the example sentence--it no longer has to be something left after a person dies--it can be left to those who follow after someone has left office or town or the building, etc."
impertinence,"the trait of being rude and inclined to take liberties,discourtesy,the trait of being rude and inclined to take liberties,rudeness,cheekiness,insolence,gall,gall,impudence,impudence,courtesy,insolence,discourtesy,sauciness,rudeness,the trait of being rude and inclined to take liberties,discourtesy,the trait of being rude and inclined to take liberties,rudeness,rudeness,rudeness,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,invisibility,cheekiness,cheekiness,insolence,discourtesy,the trait of being rude and inclined to take liberties
Officials punished his impertinence by slashing the prisoners� rations and intensifying their exercise.Unbroken
noun. Know all three definitions. Sometimes you might think you're being funny or playful, but what you're saying can come across as impertinence to someone who expects to be treated with respect. The Latin root is impertinentem, or ""not belonging."" When someone shows impertinence, they act in a way that doesn't belong, or fit the situation."
succor,"consolation,help in a difficult situation,ministration,ministration,,abandon,abandon,aid,aid,assist,relieve,relieve,assistance,The Red Cross,The Red Cross,relief,relief,support,support,assistance in time of difficulty,relief,assistance in time of difficulty
They each felt that as Israel�s one true friend in the world, we should not give succor to Israel�s enemies.Time (Oct 14, 2015)
noun/verb. Succor is a helping hand in a time of need, relief when the going gets tough. Succor can also be used as a verb, as in, ""After Bob fell overboard, he was saved � succored by a life preserver."""
asunder,"into parts or pieces,apart,apart,into parts or pieces,into parts or pieces,paper scraps,into parts or pieces,apart,apart,into parts or pieces,paper scraps,into parts or pieces,nto parts or pieces
On one hand, it tears the state of California asunder.New York Times (May 28, 2015)
adverb. if you�ve torn your ex's love letter asunder, you�ve forcefully ripped it into separate pieces. Most of us know it only from marriage ceremonies: �What God has joined together let no man put asunder.� In most cases you can use its more common synonym �apart� and convey the same meaning, unless you want to express a particularly violent or forceful ripping."
litany,"a prayer led by clergy with responses from the congregation,list,any long and tedious address or recital,recitation,recitation,complaints,any long and tedious address or recital,a prayer led by clergy with responses from the congregation,a prayer led by clergy with responses from the congregation,a prayer led by clergy with responses from the congregation,list,any long and tedious address or recital,complaints,any long and tedious address or recital,a prayer led by clergy with responses from the congregation,a prayer led by clergy with responses from the congregation
He launched into a litany of potential problems.The Guardian (Oct 25, 2015)
noun. If you've got a whole slew of complaints to get off your chest or requests to make, you've got yourself a litany � a long, drawn-out list.
From Greek origins meaning ""entreaty"" or ""supplication,"" litany often refers to certain long responsive petitions offered to God, particularly by practitioners of the Christian faith. For some reason, litany is usually used in reference to negative things � such as a litany of complaints or a litany of injuries."
